City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,pahrump,36.2083,-115.9839,38.02,13,6,3.13,US,1724968074
158,kailua-kona,19.6406,-155.9956,30.15,74,0,4.63,US,1724968075
159,hithadhoo,-0.6,73.0833,28.46,76,72,6.09,MV,1724968076
160,quepos,9.4236,-84.1652,28.2,81,100,1.45,CR,1724968077
161,longyearbyen,78.2186,15.6401,9.91,81,75,5.66,SJ,1724968028
162,businga,3.3333,20.8833,21.66,97,100,0.8,CD,1724968079
163,acapulco de juarez,16.8634,-99.8901,31.9,62,40,2.06,MX,1724968081
164,atvidaberg,58.2015,15.9977,19.66,91,99,3.26,SE,1724968082
165,hermanus,-34.4187,19.2345,6.56,79,0,5.08,ZA,1724968083
166,krasnyy chikoy,50.3643,108.7512,7.46,91,31,0.93,RU,1724968084
167,carnarvon,-24.8667,113.6333,18.15,66,37,8.86,AU,1724967813
168,prokhorovka,51.0374,36.7325,19.66,38,67,3.58,RU,1724968086
169,medvezh'yegorsk,62.9167,34.4667,13.65,87,53,0.78,RU,1724968087
170,mil'kovo,55.6078,37.7956,17.08,63,5,2.35,RU,1724968088
171,ranot,7.7777,100.3213,27.04,81,100,3.74,TH,1724968089
172,jamestown,42.097,-79.2353,25.57,74,100,4.12,US,1724968091
173,nha trang,12.25,109.1833,28.0,81,68,2.86,VN,1724968092
174,zavodskoy,43.4597,132.2922,18.77,94,29,2.0,RU,1724968093
175,luderitz,-26.6481,15.1594,16.75,41,0,3.98,NA,1724968095
176,kuching,1.55,110.3333,24.43,98,20,0.89,MY,1724968096
177,santa maria del oro,25.9333,-105.3667,29.42,31,50,3.31,MX,1724968097
178,west island,-12.1568,96.8225,25.99,73,20,8.75,CC,1724967920
179,yuanping,38.7153,112.7575,18.56,78,19,0.83,CN,1724968100
180,letlhakeng,-24.0944,25.0298,13.42,13,0,3.73,BW,1724968101
181,gazojak,41.1875,61.4036,21.92,29,0,4.75,TM,1724968102
182,colonia,50.9333,6.95,23.25,77,98,2.09,DE,1724968103
183,fiorano,44.536,10.8218,24.69,56,3,1.34,IT,1724968104
184,hirado,33.3597,129.5531,26.79,93,100,13.8,JP,1724968105
185,enewetak,11.3474,162.3373,28.41,76,61,3.97,MH,1724968106
186,cabo san lucas,22.8909,-109.9124,35.17,46,20,1.54,MX,1724968074
187,tangzhai,34.4328,116.5911,22.51,93,0,1.62,CN,1724968108
188,sinabang,2.4803,96.3801,25.53,86,100,1.02,ID,1724968109
189,yemva,62.59,50.8594,11.63,99,97,2.65,RU,1724968111
190,tsiombe,-25.3,45.4833,20.27,83,0,1.94,MG,1724968112
191,puerto ayora,-0.7393,-90.3518,19.75,97,87,2.68,EC,1724968113
192,lakatoro,-16.0999,167.4164,25.35,60,3,3.85,VU,1724968114
193,naze,28.3667,129.4833,26.51,89,59,3.65,JP,1724968115
194,sinan,34.8262,126.1086,24.98,82,0,10.18,KR,1724968117
195,trinidad,-14.8333,-64.9,35.99,34,19,1.03,BO,1724968118
196,sairang,23.8,92.6667,24.39,99,76,0.85,IN,1724968119
197,vetluzhskiy,58.3902,45.4654,12.62,85,0,1.38,RU,1724968122
198,vorgashor,67.5833,63.95,5.53,80,100,5.59,RU,1724968123
199,tamandare,-8.7597,-35.1047,23.44,82,84,6.35,BR,1724968124
200,kununurra,-15.7667,128.7333,18.99,94,64,1.03,AU,1724967872
201,pyt-yakh,60.7499,72.8582,9.06,86,12,4.82,RU,1724968127
202,kavaratti,10.5669,72.642,27.18,82,34,6.65,IN,1724968128
203,arboletes,8.8505,-76.4269,28.91,83,59,3.36,CO,1724968068
204,kingston,17.997,-76.7936,32.53,70,20,10.8,JM,1724968131
205,canon city,38.441,-105.2424,31.5,18,0,2.57,US,1724968132
206,chinde,26.8212,87.7095,24.66,79,4,2.13,NP,1724968133
207,kapa'a,22.0752,-159.319,28.6,77,100,5.66,US,1724968134
208,oqtosh,39.9214,65.9253,19.35,38,0,3.73,UZ,1724968135
209,prince rupert,54.3161,-130.3201,16.05,77,75,2.57,CA,1724968136
210,flying fish cove,-10.4217,105.6791,23.82,83,100,6.17,CX,1724968137
211,mikuni,36.2171,136.1519,25.11,84,100,1.38,JP,1724968138
212,port saint john's,-31.6229,29.5448,13.06,67,52,2.27,ZA,1724968139
213,holualoa,19.6228,-155.9522,28.08,78,0,4.63,US,1724968140
214,isla vista,34.4133,-119.861,25.75,68,6,2.99,US,1724968142
215,al bawiti,28.3492,28.8659,28.61,40,12,3.94,EG,1724968143
216,lebu,-37.6167,-73.65,10.35,86,1,1.68,CL,1724968144
217,ust-nera,64.5667,143.2,4.77,100,100,0.84,RU,1724968145
218,kassiri,8.9372,-13.1244,24.35,92,79,3.89,SL,1724968146
219,kruisfontein,-34.0033,24.7314,6.63,82,0,2.94,ZA,1724967960
220,figuig (centre),32.1089,-1.2286,29.33,27,82,1.75,MA,1724968148
221,kavieng,-2.5744,150.7967,27.6,82,100,6.79,PG,1724968149
222,anadyr,64.75,177.4833,6.28,93,100,4.0,RU,1724968150
223,tefe,-3.3542,-64.7114,33.06,55,20,1.54,BR,1724967930
224,az zulfi,26.2995,44.8154,30.81,15,0,3.65,SA,1724968153
225,peace river,56.2501,-117.286,22.17,40,100,5.14,CA,1724967971
226,happy valley-goose bay,53.3168,-60.3315,18.17,42,75,8.23,CA,1724967878
227,moyale,3.5167,39.0584,21.3,60,34,2.77,KE,1724968156
228,gaalkacyo,6.7697,47.4308,26.43,67,37,9.48,SO,1724968157
229,campbell river,50.0163,-125.2446,23.11,60,20,3.09,CA,1724968059
230,kovalam,8.3667,76.9967,28.05,78,75,3.09,IN,1724968159
231,whitehorse,60.7161,-135.0538,12.43,64,75,6.71,CA,1724967866
232,keflavik,64.0049,-22.5624,8.24,93,75,4.12,IS,1724968161
233,fale old settlement,-9.3852,-171.2468,27.28,78,75,7.65,TK,1724968163
234,labrador city,52.9463,-66.9114,17.95,42,0,4.12,CA,1724967983
235,kupang,-10.1667,123.5833,24.32,88,20,2.57,ID,1724968165
236,antsiranana,-12.2787,49.2917,22.32,77,42,8.41,MG,1724968166
237,kuqa,41.7278,82.9364,23.03,32,100,2.69,CN,1724968167
238,kangding,30.0513,101.9603,17.93,90,100,0.54,CN,1724968168
239,lazaro cardenas,17.9583,-102.2,30.5,68,25,4.9,MX,1724968169
240,arenapolis,-14.4503,-56.8461,31.15,23,0,2.03,BR,1724968172
241,hanceville,34.0607,-86.7675,32.34,65,81,5.16,US,1724968173
242,sola,-13.8833,167.55,26.37,69,75,0.0,VU,1724968174
243,maracacume,-2.0428,-45.9592,27.13,62,79,3.37,BR,1724968175
244,igarka,67.4667,86.5833,12.07,99,100,2.83,RU,1724968177
245,mana,5.6592,-53.7767,26.88,82,37,3.7,GF,1724968181
